id,where_in_post,post_text,value_in_post,exact_value,computed_from
fined1m_median,first body paragraph,The 15 cases that ended in fines of €1 million or more ... took a median of 4.4 years,15; 4.4 years,15 cases; median 4.360 years,"rows with fine_eur >= 1,000,000 in data/dpc_inquiries.csv; output/stats.json n_fined1m, median_fined1m"
linkedin_duration,first body paragraph,LinkedIn’s behavioral advertising case took 6.2 years from inquiry to decision,6.2 years,6.174 years (2018-08-20 to 2024-10-22),data/dpc_inquiries.csv row inquiry-linkedin-ireland-unlimited-company-october-2024 (https://www.dataprotection.ie/en/dpc-guidance/decisions/inquiry-linkedin-ireland-unlimited-company-october-2024)
tullamore_span,first body paragraph; simpler-rule paragraph,reported ransomware ... in November 2018; the final decision came in June 2026 (7.6 years later) / Whether a hospital’s security measures were “appropriate” took more than six years,7.6 years; more than six years,7.565 years from the breach report (2018-11-16 to 2026-06-10); inquiry 6.672 years (2019-10-08 to 2026-06-10),"trigger_date, commencement_date and decision_date of the Tullamore row in data/dpc_inquiries.csv (https://www.dataprotection.ie/en/dpc-guidance/decisions/inquiry-midlands-regional-hospital-tullamore); output/stats.json tullamore_breach_to_decision"
cohort_2020_status,second body paragraph,"Of the 27 open cross-border investigations at the end of 2020, 13 were still open as of 25 September 2026 and one more had been discontinued",27; 13 open; 1 discontinued,"AR2020: ""On 31 December 2020, the DPC had 83 statutory inquiries on hand, including 27 cross-border inquiries.""; reconstructed 13 later decided + 13 open + 1 discontinued","DPC Annual Report 2020 (https://www.dataprotection.ie/sites/default/files/uploads/2021-05/DPC%202020%20Annual%20Report%20%28English%29.pdf), committed text data/raw/annual_reports/AR2020.txt line 2721; statutory cross-border inquiries begun by end-2020 in data/dpc_inquiries.csv and data/dpc_open_inquiries.csv"
adtech_open,second body paragraph; probability paragraph,Google’s real-time bidding inquiry has been open 7.3 years,7.3 years,7.346 years (since 2019-05-22),"data/dpc_open_inquiries.csv, Google adtech row"
tinder_open,second body paragraph,"Tinder’s has been open 6.6 years (the DPC sent the company a draft decision in July 2026, more than six years in)",6.6 years; July 2026; more than six years in,"6.639 years (since 2020-02-04); draft decision 9 Jul 2026 per Match Group 10-Q, 6.426 years after commencement","data/dpc_open_inquiries.csv, Tinder row; Match Group 10-Q filed 5 Aug 2026 (https://www.sec.gov/Archives/edgar/data/891103/000089110326000130/mtch-20260630.htm)"
google_location,second body paragraph,"a €403 million fine announced on 21 September 2026, 6.6 years after it opened",€403 million; 6.6 years,"EUR 403,000,000; 6.628 years (2020-02-04 to 2026-09-21)","data/dpc_inquiries.csv, Google location-data row; DPC announcement (https://www.dataprotection.ie/en/news-media/latest-news/data-protection-commission-fines-google-eu403-million-following-inquiry-googles-processing-location)"
imposed_through_2025,second body paragraph,By the end of 2025 the DPC had imposed €4.04 billion in fines,€4.04 billion,"EUR 4,038,254,500",sum of fine_eur for decisions dated on or before 2025-12-31 in data/dpc_inquiries.csv
collected_through_2025,second body paragraph; table,roughly €20 million of that had actually been collected / the biggest fines wait on appeals,roughly €20 million,"EUR 20,037,000 (0.50% of fines imposed through 2025)",COLLECTED_THROUGH_2025 in scripts/analyze.py (collections itemised from DPC annual reports 2020-2025); output/stats.json collected_through_2025_eur
fig2_censored,Figure 2 caption,counting the 14 still-open or discontinued cases as censored,14,14 censored cases,rows of data/dpc_open_inquiries.csv begun by the end of 2020; output/stats.json cohort_n_still_open
km_final_survival,Figure 2 caption,It flattens after the last decision because 43% of cases are still undecided,43%,0.4336,last step of the Kaplan-Meier curve; output/stats.json km_final_survival
forecast_already,Figure 2 caption,the curves start near 26% and 10%,26% and 10%,weak 0.2586; strong 0.1011,"Metaculus CDFs at 25 Sep 2026; output/stats.json p_weak_already, p_strong_already"
forecast_at_km_median,probability paragraph; table,an 84% chance of existing by the time it concluded (and 59% for the strong form) / Better than even odds that strong AGI arrives before such a case closes,84% and 59%; better than even,weak 0.8423; strong 0.5945 at 6.19 years,"Metaculus CDFs at the Kaplan-Meier median; output/stats.json p_weak_within_km_median, p_strong_within_km_median"
forecast_at_adtech_age,probability paragraph,"already at 7.3 years, where AGI probabilities reach 86% and 64%",86% and 64%,weak 0.8623; strong 0.6437 at 7.35 years,Metaculus CDFs at the adtech inquiry’s age; output/stats.json p_weak_within_google_adtech_open
ai_training_open,AI-training paragraph,Neither case has been decided yet,none decided,Google Ireland (PaLM 2 AI model): no published final decision; X Internet Unlimited Company (Grok AI training): no published final decision,"data/dpc_open_inquiries.csv, PaLM 2 and Grok rows"
phecc_duration,simpler-rule paragraph; table,Investigating whether a public body had appointed a data protection officer took 81 days,81 days,81 days (2022-02-11 to 2022-05-03),"data/dpc_inquiries.csv, Pre-Hospital Emergency Care Council row (https://www.dataprotection.ie/en/dpc-guidance/decisions/inquiry-pre-hospital-emergency-care-council)"
pre_draft_share,AI Office paragraph; note,"I went through the procedural histories in eleven of the fined cross-border cases, and across them about four-fifths of the time passed before any other EU regulator saw a draft decision",eleven; about four-fifths,"11 cases; 82.4% of elapsed days before the Article 60(3) draft (11,480 of 13,928 days)","data/dpc_procedural_milestones.csv (scripts/build_procedural_milestones.py, each date checked against the decision text)"
km_cohort,note; Figure 2 caption,"the 30 cross-border cases ... (statutory inquiries plus three complaint decisions), 16 of them decided, 13 still open on the basis date and one discontinued in 2022",30; 3; 16; 13; 1,"30 cases: 16 decided (3 complaint decisions), 13 open, 1 discontinued",cross-border rows begun by the end of 2020 in data/dpc_inquiries.csv and data/dpc_open_inquiries.csv
km_statutory_only,note,"without the three complaint decisions the median is 6.6 years, so 6.2 years is a floor",6.6 years,"6.628 years (Kaplan-Meier median of the 27 statutory inquiries, same censored cases)",Kaplan-Meier on the cohort minus the three complaint decisions (same estimator)
silent_open,note,seven open cases with no DPC status report since its 2020 to 2023 annual reports are assumed still open,seven,Quantcast International (AR2021); Verizon Media / Oath (Yahoo) (AR2023); Apple Distribution International (transparency) (AR2020); Apple Distribution International (right of access) (AR2020); Twitter International (access to links) (AR2020); Twitter International (breach volume) (AR2022); Yelp (AR2023),no_dpc_status_report_since column of data/dpc_open_inquiries.csv (scripts/build_open_inquiries.py)
led_excluded,note,Eight Law Enforcement Directive decisions are excluded,Eight,8 LED rows,regime column of data/dpc_inquiries.csv; output/stats.json n_led
start_precision,note,Start dates are exact to the day for 63 of the 69 concluded inquiries; for the other six ... the start is inferred,63 of 69; six,"63 day-precision, 6 inferred",commencement_precision column of data/dpc_inquiries.csv
unregistered_decisions,note,"The annual reports mention at least nine further final decisions from 2023 to 2025, mostly no-infringement outcomes in complaint cases",nine; mostly no infringement,9 reported in annual reports (6 no infringement or no violation); one more on the EDPB register only,"data/dpc_unregistered_decisions_2023_2025.csv (scripts/build_unregistered_decisions.py, each row checked against the annual-report text)"
footnote_spans,footnote,"opened after an August 2018 AP story and settled in November 2022, 4.3 years later",4.3 years,AP story 2018-08-13 to settlement 2022-11-14: 4.255 years,AP story published 13 Aug 2018 (https://apnews.com/article/828aefab64d4411bac257a07c1af0ecb); 40-state settlement announced 14 Nov 2022 (https://www.michigan.gov/ag/news/press-releases/2022/11/14/40-attorneys-general-announce-historic-google-settlement-over-location-tracking-practices)
x_undertaking_to_inquiry,table,"In August 2024, X gave a narrow High Court undertaking ... The DPC opened a formal inquiry eight months later",August 2024; eight months,8.08 months (undertaking 2024-08-08 to inquiry commencement 2025-04-11),"DPC press release 8 Aug 2024 (https://www.dataprotection.ie/en/news-media/press-releases/dpc-welcomes-xs-agreement-suspend-its-processing-personal-data-purpose-training-ai-tool-grok); commencement_date of the X Grok AI-training row in data/dpc_open_inquiries.csv, from the DPC announcement of 11 Apr 2025 (https://www.dataprotection.ie/en/news-media/latest-news/data-protection-commission-announces-commencement-inquiry-x-internet-unlimited-company-xiuc)"
